F1,SI,JI,homogeneity,IC_av,cluster count,segment,stream,size
,,,,"[0.9849420223680702, 0.9849420223680702]",1.0,1,-,3
,,,,"[0.350245621387074, 0.350245621387074]",1.0,2,-,3
,,,,"[2.010225589690477, 2.010225589690477]",1.0,3,-,3
,,,,"[1.7149458370908968, 1.7149458370908968]",1.0,4,-,3
,,,,"[2.4628370397486394, 2.4628370397486394]",1.0,5,-,3
,,,,"[0.9650142208988985, 0.9650142208988985]",1.0,6,-,3
,,,,"[0.7999178760780842, 0.7999178760780842]",1.0,7,-,3
,0.24343474610489677,,,"[0.6724065478103736, 0.06964678413236747, 0.6027597636780061]",2.0,8,-,3
,-0.058623633027814245,,,"[1.0621420422060985, 0.40785645063956766, 0.22492376458287697, 0.40785645063956766, 0.021505376344086207]",4.0,9,-,3
,0.32440838267342037,,,"[1.8117477791428511, 0.7145604920494538, 1.0971872870933974]",2.0,10,-,3
,0.12871589540603426,,,"[2.1507273338276223, 0.5033504322308541, 1.4517018842917722, 0.19567501730499628]",3.0,11,-,3
,,,,"[0.9245927715569511, 0.9245927715569511]",1.0,1,-,5
,,,,"[0.1502539084800925, 0.1502539084800925]",1.0,2,-,5
,,,,"[1.4267622503424306, 1.4267622503424306]",1.0,3,-,5
,,,,"[3.0360598210342533, 3.0360598210342533]",1.0,4,-,5
,,,,"[0.7881925965676326, 0.7881925965676326]",1.0,5,-,5
,,,,"[0.853191685466787, 0.853191685466787]",1.0,6,-,5
,,,,"[0.3327842981754538, 0.3327842981754538]",1.0,7,-,5
,0.6309800714800667,,,"[0.12193066619649184, 0.10217671665791783, 0.01975394953857401]",2.0,8,-,5
,0.033791512503776926,,,"[0.9988131012551924, 0.9773077249111062, 0.021505376344086207]",2.0,9,-,5
,,,,"[1.1922348729221752, 1.1922348729221752]",1.0,10,-,5
,0.2298560649852758,,,"[1.1131326059829285, 0.44947434466379077, 0.44947434466379077, 0.21418391665534697]",3.0,11,-,5
,,,,"[0.12108062378370489, 0.12108062378370489]",1.0,1,-,7
,,,,"[0.20027051404870938, 0.20027051404870938]",1.0,2,-,7
,,,,"[1.3667502607626385, 1.3667502607626385]",1.0,3,-,7
,,,,"[1.4973695999047947, 1.4973695999047947]",1.0,4,-,7
,,,,"[0.223640187185295, 0.223640187185295]",1.0,5,-,7
,,,,"[0.44751304638003436, 0.44751304638003436]",1.0,6,-,7
,,,,"[0.2198610003222679, 0.2198610003222679]",1.0,7,-,7
,0.14764450661941717,,,"[0.49136239499317835, 0.36632040497734414, 0.1250419900158342]",2.0,8,-,7
,,,,"[1.3229107091389511, 1.3229107091389511]",1.0,9,-,7
,,,,"[1.0689992054456405, 1.0689992054456405]",1.0,10,-,7
,0.13764078949610517,,,"[2.2794730986318976, 0.6268995002162787, 1.652573598415619]",2.0,11,-,7
,,,,"[1.1300724956843589, 1.1300724956843589]",1.0,1,-,3
,,,,"[0.2957232340202604, 0.2957232340202604]",1.0,2,-,3
,,,,"[0.10663275411995282, 0.10663275411995282]",1.0,3,-,3
,,,,"[0.6590999934866543, 0.6590999934866543]",1.0,4,-,3
,,,,"[1.068931365457487, 1.068931365457487]",1.0,5,-,3
,,,,"[0.9865220093319863, 0.9865220093319863]",1.0,6,-,3
,,,,"[1.9476894093249373, 1.9476894093249373]",1.0,7,-,3
,,,,"[1.3264801099235912, 1.3264801099235912]",1.0,8,-,3
,,,,"[0.6297836639424309, 0.6297836639424309]",1.0,9,-,3
,,,,"[0.49475009666365266, 0.49475009666365266]",1.0,10,-,3
,,,,"[0.34032734172866147, 0.34032734172866147]",1.0,11,-,3
,,,,"[1.2841885579877494, 1.2841885579877494]",1.0,1,-,5
,,,,"[0.950465870494987, 0.950465870494987]",1.0,2,-,5
,,,,"[0.35382083650700324, 0.35382083650700324]",1.0,3,-,5
,,,,"[0.4407408722053824, 0.4407408722053824]",1.0,4,-,5
,,,,"[0.2580282941869096, 0.2580282941869096]",1.0,5,-,5
,,,,"[0.03139957938159892, 0.03139957938159892]",1.0,6,-,5
,,,,"[1.4911474859327858, 1.4911474859327858]",1.0,7,-,5
,,,,"[1.057420876358973, 1.057420876358973]",1.0,8,-,5
,,,,"[0.938578521586093, 0.938578521586093]",1.0,9,-,5
,,,,"[0.7326301040773395, 0.7326301040773395]",1.0,10,-,5
,,,,"[0.8214508606407215, 0.8214508606407215]",1.0,11,-,5
,0.07811586019165187,,,"[1.342839499178989, 0.6714197495894945, 0.6714197495894945]",2.0,1,-,7
,0.1199989711855141,,,"[1.6141197734600514, 0.9356570196684876, 0.6784627537915638]",2.0,2,-,7
,,,,"[0.15477246774655556, 0.15477246774655556]",1.0,3,-,7
,0.28870422169678617,,,"[0.5293549449021879, 0.26467747245109396, 0.26467747245109396]",2.0,4,-,7
,,,,"[0.4429078763349404, 0.4429078763349404]",1.0,5,-,7
,0.09030146906130687,,,"[0.35533838847710036, 0.19153379852767746, 0.1638045899494229]",2.0,6,-,7
